id_extracto,fecha,descripcion,importe
1,2026-09-11,TRANSF 0001-00000002,351253.65
2,2026-08-29,TRANSF 0001-00000003,407093.8
3,2026-07-14,TRANSF 0001-00000007,310582.03
4,2026-06-16,TRANSF 0001-00000008,122997.1
5,2026-08-05,TRANSF 0001-00000009,590130.6
6,2026-09-01,TRANSF 0001-00000011,77132.3
7,2026-07-02,TRANSF 0001-00000012,73978.81
8,2026-09-04,TRANSF 0001-00000014,209910.5
9,2026-06-07,TRANSF 0001-00000016,184160.54
10,2026-09-01,TRANSF 0001-00000017,486798.39
11,2026-07-13,TRANSF 0001-00000020,248717.34
12,2026-08-31,TRANSF 0001-00000022,163268.44
13,2026-08-03,TRANSF 0001-00000025,175532.8
14,2026-06-19,TRANSF 0001-00000026,103981.74
15,2026-08-09,TRANSF 0001-00000028,28599.74
16,2026-08-05,TRANSF 0001-00000034,489767.02
17,2026-08-11,TRANSF 0001-00000035,583109.61
18,2026-07-11,TRANSF 0001-00000039,457134.79
19,2026-06-28,TRANSF 0001-00000040,425272.37
20,2026-09-22,TRANSF 0001-00000041,50787.92
21,2026-06-08,TRANSF 0001-00000042,472661.91
22,2026-09-04,TRANSF 0001-00000045,362693.88
23,2026-09-14,TRANSF 0001-00000046,90285.63
24,2026-09-13,TRANSF 0001-00000047,562302.38
25,2026-08-16,TRANSF 0001-00000048,492057.6
26,2026-08-18,TRANSF 0001-00000050,77601.98
27,2026-09-13,TRANSF 0001-00000052,173250.12
28,2026-06-17,TRANSF 0001-00000053,440557.1
29,2026-06-08,TRANSF 0001-00000054,415251.9
30,2026-09-05,TRANSF 0001-00000055,247514.09
31,2026-06-30,TRANSF 0001-00000059,534076.09
32,2026-07-19,TRANSF 0001-00000062,146891.42
33,2026-08-24,TRANSF 0001-00000063,242863.87
34,2026-07-05,TRANSF 0001-00000064,120383.86
35,2026-07-13,TRANSF 0001-00000065,400128.16
36,2026-07-02,TRANSF 0001-00000074,279154.96
37,2026-07-10,TRANSF 0001-00000075,229296.55
38,2026-07-24,TRANSF 0001-00000078,431235.42
39,2026-09-02,TRANSF 0001-00000079,132733.46
40,2026-07-07,TRANSF 0001-00000080,239790.95
41,2026-07-24,TRANSF 0001-00000082,342805.62
42,2026-09-01,TRANSF 0001-00000084,479821.37
43,2026-07-22,TRANSF 0001-00000085,224076.67
44,2026-09-09,TRANSF 0001-00000087,181740.9
45,2026-07-08,TRANSF 0001-00000088,568289.76
46,2026-09-18,TRANSF 0001-00000097,589477.58
47,2026-08-12,TRANSF 0001-00000098,168657.88
48,2026-06-29,ACREDITACIÓN VARIOS / COMISIÓN,16378.11
49,2026-07-21,ACREDITACIÓN VARIOS / COMISIÓN,54269.88
50,2026-06-12,ACREDITACIÓN VARIOS / COMISIÓN,59741.72
51,2026-08-06,ACREDITACIÓN VARIOS / COMISIÓN,77045.43
52,2026-08-18,ACREDITACIÓN VARIOS / COMISIÓN,70452.61
