id_pago,nro_factura,fecha_pago,importe,medio
1,0001-00000002,2026-09-09,351253.65,Transferencia
2,0001-00000003,2026-08-29,407093.8,Efectivo
3,0001-00000007,2026-07-13,310582.03,Efectivo
4,0001-00000008,2026-06-16,122997.1,Efectivo
5,0001-00000009,2026-08-06,590130.6,Efectivo
6,0001-00000011,2026-09-02,77132.3,Mercado Pago
7,0001-00000012,2026-06-30,73978.81,Transferencia
8,0001-00000014,2026-09-04,209910.5,Transferencia
9,0001-00000016,2026-06-06,184160.54,Transferencia
10,0001-00000017,2026-08-30,486798.39,Transferencia
11,0001-00000020,2026-07-13,248717.34,Transferencia
12,0001-00000022,2026-08-31,163268.44,Mercado Pago
13,0001-00000025,2026-08-04,175532.8,Efectivo
14,0001-00000026,2026-06-18,103981.74,Transferencia
15,0001-00000028,2026-08-09,28599.74,Transferencia
16,0001-00000034,2026-08-05,489767.02,Transferencia
17,0001-00000035,2026-08-11,583109.61,Transferencia
18,0001-00000038,2026-08-04,216383.72,Mercado Pago
19,0001-00000039,2026-07-11,457034.79,Efectivo
20,0001-00000040,2026-06-26,425272.37,Mercado Pago
21,0001-00000041,2026-09-21,50787.92,Transferencia
22,0001-00000042,2026-06-08,472661.91,Transferencia
23,0001-00000045,2026-09-04,362693.88,Transferencia
24,0001-00000046,2026-09-13,90285.63,Mercado Pago
25,0001-00000047,2026-09-13,562302.38,Efectivo
26,0001-00000048,2026-08-17,492057.6,Transferencia
27,0001-00000050,2026-08-16,77601.98,Transferencia
28,0001-00000052,2026-09-13,173750.12,Mercado Pago
29,0001-00000053,2026-06-17,440557.1,Transferencia
30,0001-00000054,2026-06-08,415251.9,Efectivo
31,0001-00000055,2026-09-03,247514.09,Efectivo
32,0001-00000059,2026-06-29,534076.09,Mercado Pago
33,0001-00000061,2026-08-14,210456.88,Mercado Pago
34,0001-00000062,2026-07-20,146891.42,Mercado Pago
35,0001-00000063,2026-08-22,242963.87,Efectivo
36,0001-00000064,2026-07-05,120383.86,Transferencia
37,0001-00000065,2026-07-14,400128.16,Efectivo
38,0001-00000072,2026-08-25,391613.35,Transferencia
39,0001-00000074,2026-07-02,279154.96,Efectivo
40,0001-00000075,2026-07-10,229296.55,Mercado Pago
41,0001-00000078,2026-07-23,431235.42,Transferencia
42,0001-00000079,2026-09-03,132733.46,Efectivo
43,0001-00000080,2026-07-05,239790.95,Efectivo
44,0001-00000082,2026-07-22,342805.62,Efectivo
45,0001-00000084,2026-09-02,480321.37,Mercado Pago
46,0001-00000085,2026-07-21,224076.67,Mercado Pago
47,0001-00000087,2026-09-09,181740.9,Transferencia
48,0001-00000088,2026-07-08,568289.76,Mercado Pago
49,0001-00000091,2026-07-27,296710.17,Efectivo
50,0001-00000097,2026-09-19,589477.58,Mercado Pago
51,0001-00000098,2026-08-13,168657.88,Efectivo
52,0001-00000099,2026-09-28,36601.73,Transferencia
